DATE,PRCP,SNOW,TMAX,TMIN
2018-15-03,0,0,30,25
2018-16-03,0.02,0.1,36,23
2018-17-03,0,0,32,20
2018-18-03,0,0,43,21
2018-19-03,0,0,50,29
2018-20-03,0,0,46,26
2018-21-03,0.11,1.2,36,26
2018-22-03,0.28,3.3,34,26
2018-23-03,0,0,43,26
2018-24-03,0,0,40,26
2018-25-03,0,0,47,22
2018-26-03,0,0,43,23
2018-27-03,0,0,47,28
2018-28-03,0.15,0,37,35
2018-29-03,0.07,0,46,37
2018-30-03,0.25,0,58,44
2018-31-03,0.02,0,45,27
2018-01-04,0.05,0,57,29
2018-02-04,0.52,4.5,50,32
2018-03-04,0.06,0,44,32
2018-04-04,0.48,0,52,38
2018-05-04,0.03,0.1,53,26
2018-06-04,0,0,39,27
2018-07-04,0.02,0,55,27
2018-08-04,0,0,35,24
2018-09-04,0,0,37,26
2018-10-04,0.04,1,39,28
2018-11-04,0,0,43,28
2018-12-04,0.05,0,48,31
2018-13-04,0.03,0,73,40
2018-14-04,0,0,82,57
2018-15-04,0,0,84,43
2018-16-04,1.56,0,49,38
2018-17-04,0.21,0,43,32
2018-18-04,0.02,0,36,31
2018-19-04,0.1,0,51,33
2018-20-04,0.09,0,39,31
2018-21-04,0,0,52,31
2018-22-04,0,0,59,34
2018-23-04,0,0,64,38
2018-24-04,0,0,69,44
2018-25-04,0.19,0,58,49
2018-26-04,0.01,0,59,42
2018-27-04,0.01,0,63,42
2018-28-04,0.4,0,63,41
2018-29-04,0.01,0,62,36
2018-30-04,0,0,45,34
2018-01-05,0,0,66,38
2018-02-05,0,0,80,52
2018-03-05,0,0,84,64
2018-04-05,0.19,0,86,65
2018-05-05,0.11,0,80,51
2018-06-05,0.33,0,71,52
2018-07-05,0.34,0,54,44
2018-08-05,0,0,65,47
2018-09-05,0,0,75,53
2018-10-05,0.02,0,78,58
2018-11-05,0.04,0,77,57
2018-12-05,0.63,0,67,48
2018-13-05,0.21,0,77,51
2018-14-05,0.43,0,61,52
2018-15-05,0,0,76,56
2018-16-05,0.44,0,85,57
2018-17-05,0.12,0,61,57
2018-18-05,0,0,75,59
2018-19-05,0.44,0,71,49
2018-20-05,0.02,0,62,51
2018-21-05,0.01,0,75,54
2018-22-05,0,0,74,58
2018-23-05,0.58,0,72,63
2018-24-05,0,0,75,53
2018-25-05,0,0,81,57
2018-26-05,0,0,84,61
2018-27-05,0.06,0,86,65
2018-28-05,0.19,0,76,65
2018-29-05,0,0,81,67
2018-30-05,0,0,87,68
2018-31-05,0.01,0,82,68
2018-01-06,0,0,73,68
2018-02-06,0,0,80,69
2018-03-06,0.26,0,77,61
2018-04-06,0.34,0,63,54
2018-05-06,0,0,69,53
2018-06-06,0.05,0,70,49
2018-07-06,0,0,61,48
2018-08-06,0,0,72,53
2018-09-06,0,0,77,60
2018-10-06,0.16,0,76,57
2018-11-06,2.37,0,59,56
2018-12-06,0,0,68,50
2018-13-06,0.29,0,74,56
2018-14-06,0,0,77,56
2018-15-06,0,0,79,55
2018-16-06,0,0,76,54
2018-17-06,0,0,80,59
2018-18-06,0,0,85,67
2018-19-06,0.64,0,90,71
2018-20-06,0.03,0,80,62
2018-21-06,0.25,0,75,63
2018-22-06,0.03,0,78,59
2018-23-06,0.14,0,69,60
2018-24-06,0.56,0,73,62
2018-25-06,0.02,0,79,59
2018-26-06,0,0,75,52
2018-27-06,0.09,0,77,56
2018-28-06,0.15,0,71,64
2018-29-06,0.02,0,80,64
2018-30-06,0,0,86,65
2018-01-07,0,0,89,69
2018-02-07,0,0,91,72
2018-03-07,0.07,0,91,69
2018-04-07,0,0,88,70
2018-05-07,1.47,0,86,70
2018-06-07,0.09,0,84,71
2018-07-07,0.02,0,81,54
2018-08-07,0,0,74,53
2018-09-07,0,0,80,57
2018-10-07,0,0,84,61
2018-11-07,0.46,0,86,64
2018-12-07,0,0,79,55
2018-13-07,0,0,78,60
2018-14-07,0,0,82,64
2018-15-07,0.02,0,86,70
2018-16-07,0.32,0,85,68
2018-17-07,0.01,0,88,72
2018-18-07,0.88,0,81,58
2018-19-07,0,0,77,57
2018-20-07,0,0,79,60
2018-21-07,0,0,83,64
2018-22-07,2.06,0,72,58
2018-23-07,0.16,0,72,60
2018-24-07,1.33,0,76,69
2018-25-07,0.97,0,78,70
2018-26-07,0.52,0,76,64
2018-27-07,0.02,0,82,67
2018-28-07,0.11,0,76,64
2018-29-07,0,0,77,58
2018-30-07,0.07,0,78,61
2018-31-07,0.79,0,67,61
2018-01-08,0.14,0,72,66
2018-02-08,0.45,0,81,68
2018-03-08,2.5,0,77,68
2018-04-08,1.03,0,72,68
2018-05-08,0,0,84,66
2018-06-08,0,0,87,68
2018-07-08,0,0,88,69
2018-08-08,0.05,0,86,70
2018-09-08,0.18,0,83,68
2018-10-08,0,0,83,66
2018-11-08,0.02,0,82,68
2018-12-08,0,0,81,65
2018-13-08,0.09,0,80,66
2018-14-08,1.12,0,78,65
2018-15-08,0.29,0,70,64
2018-16-08,0,0,84,67
2018-17-08,0.29,0,84,68
2018-18-08,0.19,0,83,69
2018-19-08,0.02,0,80,65
2018-20-08,0.05,0,68,65
2018-21-08,0.12,0,71,64
2018-22-08,0.29,0,72,66
2018-23-08,0,0,76,55
2018-24-08,0,0,74,53
2018-25-08,0,0,78,56
2018-26-08,0,0,75,61
2018-27-08,0,0,78,65
2018-28-08,0,0,86,71
2018-29-08,0,0,89,71
2018-30-08,0,0,90,70
2018-31-08,0.54,0,84,64
2018-01-09,0.25,0,75,66
2018-02-09,0,0,75,68
2018-03-09,0,0,84,69
2018-04-09,0,0,89,67
2018-05-09,0,0,88,69
2018-06-09,0,0,90,72
2018-07-09,0.11,0,86,68
2018-08-09,0.15,0,75,61
2018-09-09,0.98,0,63,52
2018-10-09,2.36,0,54,52
2018-11-09,2.35,0,59,52
2018-12-09,0.03,0,69,59
2018-13-09,0.03,0,70,64
2018-14-09,0.01,0,79,68
2018-15-09,0,0,75,68
2018-16-09,0,0,78,63
2018-17-09,0,0,79,64
2018-18-09,0.94,0,72,65
2018-19-09,0,0,79,65
2018-20-09,0,0,80,59
2018-21-09,0,0,78,60
2018-22-09,0.02,0,77,61
2018-23-09,0,0,62,52
2018-24-09,0,0,63,52
2018-25-09,0.67,0,61,56
2018-26-09,0.42,0,69,58
2018-27-09,0.14,0,77,52
2018-28-09,0.53,0,60,53
2018-29-09,0,0,66,51
2018-30-09,0,0,63,45
2018-01-10,0,0,68,45
2018-02-10,0,0,78,54
2018-03-10,0.91,0,78,60
2018-04-10,0,0,75,58
2018-05-10,0.21,0,75,50
2018-06-10,0.02,0,63,51
2018-07-10,0.15,0,75,63
2018-08-10,0,0,83,66
2018-09-10,0,0,80,65
2018-10-10,0,0,80,70
2018-11-10,0.33,0,80,69
2018-12-10,0.13,0,70,49
2018-13-10,0.26,0,51,42
2018-14-10,0.02,0,51,40
2018-15-10,0.02,0,52,41
2018-16-10,0.07,0,65,38
2018-17-10,0,0,53,39
2018-18-10,0.01,0,53,38
2018-19-10,0,0,49,36
2018-20-10,0.03,0,55,37
2018-21-10,0.36,0,57,34
2018-22-10,0,0,43,34
2018-23-10,0,0,54,37
2018-24-10,0,0,57,41
2018-25-10,0,0,47,35
2018-26-10,0,0,46,34
2018-27-10,0.73,0,45,36
2018-28-10,0.72,0,42,39
2018-29-10,0.27,0,46,40
2018-30-10,0.03,0,47,39
2018-31-10,0,0,55,41
2018-01-11,0.12,0,63,43
2018-02-11,0.12,0,63,52
2018-03-11,0.09,0,60,42
2018-04-11,0,0,49,31
2018-05-11,0.33,0,53,31
2018-06-11,0.3,0,53,45
2018-07-11,0.15,0,64,45
2018-08-11,0,0,56,33
2018-09-11,0,0,48,33
2018-10-11,1.04,0.2,39,28
2018-11-11,0,0,33,28
2018-12-11,0,0,41,27
2018-13-11,0.52,0,43,26
2018-14-11,0,0,38,30
2018-15-11,0,0,32,28
2018-16-11,1.52,11.5,32,26
2018-17-11,0,0,35,32
2018-18-11,0,0,38,33
2018-19-11,0.01,0,40,34
2018-20-11,0.24,0,36,34
2018-21-11,0,0,38,32
2018-22-11,0,0,34,16
2018-23-11,0,0,23,16
2018-24-11,0,0,31,17
2018-25-11,0.51,0,37,28
2018-26-11,0,0,47,34
2018-27-11,0.46,0,47,32
2018-28-11,0,0,32,27
2018-29-11,0,0,28,26
2018-30-11,0,0,31,26
2018-01-12,0,0,36,31
2018-02-12,0.59,0,41,32
2018-03-12,0.01,0,47,41
2018-04-12,0.01,0,45,32
2018-05-12,0,0,35,20
2018-06-12,0,0,36,21
2018-07-12,0,0,35,26
2018-08-12,0,0,29,25
2018-09-12,0,0,27,19
2018-10-12,0,0,28,16
2018-11-12,0,0,31,17
2018-12-12,0,0,36,18
2018-13-12,0,0,35,31
2018-14-12,0.02,0.2,38,29
2018-15-12,0.33,0,42,37
2018-16-12,1.33,0,42,37
2018-17-12,0.08,0,41,36
2018-18-12,0,0,39,32
2018-19-12,0,0,39,23
2018-20-12,0,0,41,22
2018-21-12,0.68,0,52,25
2018-22-12,0.91,0,57,34
2018-23-12,0,0,35,33
2018-24-12,0.01,0,39,32
2018-25-12,0,0,35,30
2018-26-12,0,0,34,25
2018-27-12,0,0,40,27
2018-28-12,0.49,0,44,28
2018-29-12,0.03,0,54,38
2018-30-12,0,0,38,32
2018-31-12,0,0,39,27
2019-01-01,0.88,0,58,28
2019-02-01,0,0,54,35
2019-03-01,0.02,0,40,35
2019-04-01,0,0,35,30
2019-05-01,0.66,0,39,32
2019-06-01,0.09,0,51,36
2019-07-01,0,0,42,26
2019-08-01,0.08,0,33,26
2019-09-01,0.31,0,45,32
2019-10-01,0,0,35,24
2019-11-01,0,0,28,20
2019-12-01,0,0,30,17
2019-13-01,0.14,1,30,17
2019-14-01,0.01,0.1,27,15
2019-15-01,0,0,35,15
2019-16-01,0,0,30,25
2019-17-01,0,0,31,19
2019-18-01,0.04,0.6,28,21
2019-19-01,0,0,33,27
2019-20-01,1.05,7,33,28
2019-21-01,0,0,33,-1
2019-22-01,0,0,10,-1
2019-23-01,0,0,27,2
2019-24-01,1,0,44,27
2019-25-01,0.22,0,42,25
2019-26-01,0,0,27,13
2019-27-01,0,0,28,13
2019-28-01,0.06,0.8,34,8
2019-29-01,0.03,0.3,30,8
2019-30-01,0.06,1.6,28,8
2019-31-01,0.01,0.2,15,-5
2019-01-02,0,0,10,-4
2019-02-02,0.06,0.6,14,5
2019-03-02,0,0,40,7
2019-04-02,0,0,53,29
2019-05-02,0,0,58,29
2019-06-02,0,0,57,33
2019-07-02,0.48,0,40,35
2019-08-02,0.6,0,52,37
2019-09-02,0,0,47,16
2019-10-02,0,0,24,12
2019-11-02,0.06,0.5,30,13
2019-12-02,0.5,4,29,27
2019-13-02,0.59,1,34,28
2019-14-02,0.01,0.4,31,25
2019-15-02,0,0,43,27
2019-16-02,0,0,50,27
2019-17-02,0,0,34,19
2019-18-02,0.07,0.2,34,19
2019-19-02,0,0,34,16
2019-20-02,0,0,29,16
2019-21-02,1.13,5,33,24
2019-22-02,0,0,46,32
2019-23-02,0,0,41,29
2019-24-02,0.23,0,35,28
2019-25-02,0.18,0,46,26
2019-26-02,0,0,30,22
2019-27-02,0,0,28,22
2019-28-02,0,0,38,21
2019-01-03,0.13,1.9,33,22
2019-02-03,0.02,0.2,29,24
2019-03-03,0,0,36,27
2019-04-03,0.36,2.8,31,23
2019-05-03,0,0,28,10
2019-06-03,0,0,24,10
2019-07-03,0,0,18,12
2019-08-03,0,0,30,14
2019-09-03,0,0,32,16
2019-10-03,0.56,0,46,28
2019-11-03,0,0,53,35
2019-12-03,0,0,48,28
2019-13-03,0,0,42,24
2019-14-03,0,0,52,27
2019-15-03,0.04,0,62,37
2019-16-03,0.02,0,66,34
2019-17-03,0,0,36,29
2019-18-03,0,0,40,27
2019-19-03,0,0,40,23
2019-20-03,0,0,46,24
2019-21-03,0,0,51,27
2019-22-03,1.1,0,40,36
2019-23-03,0,0,42,28
2019-24-03,0,0,44,28
2019-25-03,0.01,0,52,39
2019-26-03,0,0,44,27
2019-27-03,0,0,45,24
2019-28-03,0,0,51,27
2019-29-03,0.01,0,58,37
2019-30-03,0.03,0,58,48
2019-31-03,0.06,0,68,41
2019-01-04,0,0,41,24
2019-02-04,0,0,42,25
2019-03-04,0,0,47,28
2019-04-04,0,0,56,35
2019-05-04,0.07,0,58,34
2019-06-04,0.12,0,39,35
2019-07-04,0,0,63,38
2019-08-04,0.13,0,68,43
2019-09-04,0,0,70,50
2019-10-04,0,0,69,41
2019-11-04,0,0,58,38
2019-12-04,0,0,57,38
2019-13-04,0.47,0,62,50
2019-14-04,0.01,0,70,52
2019-15-04,1.18,0,67,45
2019-16-04,0.01,0,45,35
2019-17-04,0.12,0,57,40
2019-18-04,0,0,55,44
2019-19-04,0,0,70,51
2019-20-04,0.88,0,67,61
2019-21-04,0.01,0,73,50
2019-22-04,0,0,60,50
2019-23-04,0,0,69,48
2019-24-04,0.08,0,73,47
2019-25-04,0,0,64,47
2019-26-04,0.14,0,62,50
2019-27-04,0.15,0,60,42
2019-28-04,0.1,0,56,43
2019-29-04,0.07,0,48,32
2019-30-04,0.01,0,58,36
2019-01-05,0.03,0,65,51
2019-02-05,0,0,59,54
2019-03-05,0,0,78,58
2019-04-05,0.25,0,78,60
2019-05-05,0.31,0,73,53
2019-06-05,0.54,0,57,52
2019-07-05,0,0,72,50
2019-08-05,0,0,77,50
2019-09-05,0,0,68,52
2019-10-05,0.01,0,64,59
2019-11-05,0.03,0,73,46
2019-12-05,0.93,0,64,48
2019-13-05,0.53,0,50,44
2019-14-05,0.35,0,48,43
